               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.030662,            0.024204,                   0,             0.92666,             0.63092,             0.72213,             0.49282,            0.036048,            0.024135,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.030932,            0.023558,                   0,             0.94777,              0.8758,             0.93436,             0.68521,            0.026999,            0.016114,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.029706,            0.023504,                   0,             0.93621,             0.82202,             0.88744,             0.63063,            0.030964,              0.0185,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.029138,            0.023764,                   0,             0.96668,             0.98592,             0.99127,             0.74345,             0.02239,            0.012921,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.029019,            0.022783,                   0,             0.93035,             0.66704,             0.75199,             0.53212,            0.034876,            0.023455,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027496,            0.021832,                   0,             0.95929,             0.87324,             0.91899,             0.62333,            0.026307,            0.017017,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,             0.03041,            0.024397,                   0,             0.90117,             0.51985,             0.57556,             0.39551,            0.045779,            0.031066,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.030118,             0.02324,                   0,             0.93993,             0.86156,             0.92972,              0.6614,            0.024993,            0.016769,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.029069,            0.022049,                   0,             0.91605,             0.72983,               0.777,             0.50582,            0.031345,            0.023092,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.029265,            0.022605,                   0,             0.84926,              0.7935,             0.87445,             0.55339,            0.032554,            0.018789,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.029528,            0.023882,                   0,             0.90532,             0.79641,             0.86203,             0.58814,            0.030199,            0.019368,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.026426,            0.023648,                   0,             0.94553,             0.91293,             0.95583,             0.66658,            0.026188,            0.014917,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.029193,            0.023863,                   0,             0.92007,             0.64849,             0.75827,             0.49191,            0.033455,              0.0239,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,             0.02898,            0.023461,                   0,             0.95831,             0.89373,             0.93849,             0.65334,            0.028244,            0.017066,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,             0.03022,            0.023278,                   0,             0.90839,              0.7491,             0.81456,               0.555,            0.036374,            0.020437,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,             0.02974,            0.023615,                   0,             0.97026,             0.94622,             0.97339,             0.72128,            0.022693,            0.013551,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.027366,            0.022616,                   0,             0.74563,              0.3603,             0.40284,             0.25284,            0.064429,            0.034306,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.027932,              0.0242,                   0,             0.96567,             0.91165,             0.95462,             0.69651,            0.025462,            0.014384,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.026846,            0.022935,                   0,             0.96525,             0.96014,             0.98422,             0.71427,            0.023129,            0.013012,                   0,            0.009307,            0.009307,            0.009307
                  72,             0.02898,            0.021709,                   0,             0.95892,             0.89373,             0.94467,             0.68769,            0.024552,             0.01555,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,             0.02891,            0.023943,                   0,             0.88681,             0.55172,             0.62256,             0.40997,            0.045933,            0.027475,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.027218,            0.022985,                   0,              0.9371,             0.86428,             0.89608,             0.64063,            0.029194,            0.017278,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,             0.02776,            0.023025,                   0,              0.9466,             0.95321,              0.9772,             0.70553,            0.025322,            0.014253,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.029375,            0.023164,                   0,             0.95157,             0.86684,             0.92343,             0.66233,            0.027645,             0.01661,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.027557,            0.022645,                   0,             0.92399,             0.76267,             0.82481,             0.59171,            0.033247,             0.02228,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.027661,            0.022586,                   0,             0.94427,             0.80274,             0.86166,             0.57365,            0.032549,            0.018902,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.027555,            0.022283,                   0,             0.96243,             0.98398,             0.99278,             0.75529,            0.024456,            0.012107,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.027191,            0.022778,                   0,             0.96084,             0.87974,             0.92643,              0.6746,            0.024479,             0.01624,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.027194,              0.0212,                   0,             0.97126,             0.95211,             0.98319,             0.72994,            0.023796,             0.01296,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.027475,            0.021917,                   0,             0.88242,              0.8456,             0.87731,             0.61798,            0.030001,            0.019272,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.028093,            0.022623,                   0,             0.95554,             0.97311,             0.98704,             0.73084,            0.021814,            0.013441,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.028412,            0.021877,                   0,             0.97095,             0.98335,             0.99268,             0.76233,            0.020216,              0.0123,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,             0.02631,            0.021043,                   0,             0.96334,             0.97183,             0.99172,             0.67709,            0.023923,            0.012368,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,             0.02801,            0.021929,                   0,             0.90872,             0.58638,             0.65935,             0.45525,            0.039643,            0.029543,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.026572,            0.022474,                   0,             0.97268,             0.95716,             0.98725,             0.63564,            0.023296,            0.012873,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.027722,            0.022318,                   0,             0.95705,             0.88604,             0.94174,             0.66871,             0.02758,             0.01588,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.026774,            0.021903,                   0,               0.973,             0.97183,             0.99066,             0.74487,            0.020719,             0.01277,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.027835,            0.022889,                   0,              0.9483,             0.91037,             0.95127,             0.70461,            0.021522,            0.015123,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.025161,            0.022599,                   0,             0.95537,             0.82843,             0.89579,             0.64788,            0.026084,            0.017801,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.026577,            0.021665,                   0,             0.94281,             0.79385,             0.84724,             0.62026,            0.026061,            0.021225,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.025311,            0.023448,                   0,             0.97536,              0.9411,             0.98694,             0.75199,            0.022283,            0.012906,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,             0.02687,            0.022322,                   0,             0.97043,             0.83739,             0.91532,             0.69867,            0.023612,            0.016946,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.025072,            0.022226,                   0,             0.97796,             0.97183,             0.99032,             0.71715,            0.022254,            0.012201,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.026773,            0.022356,                   0,             0.97659,             0.97311,             0.99201,             0.77323,            0.019538,            0.011881,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.024017,               0.021,                   0,             0.97257,             0.98335,             0.99135,             0.79464,            0.019241,            0.011618,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.026613,            0.021612,                   0,             0.97571,             0.97743,               0.989,             0.72076,            0.021309,            0.012241,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.027769,            0.021535,                   0,             0.97922,             0.96535,              0.9903,              0.7391,            0.021298,            0.012189,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,             0.02665,            0.020846,                   0,             0.85915,             0.40205,             0.44642,             0.28289,            0.052947,            0.035104,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.025578,            0.020096,                   0,             0.93809,              0.7372,             0.83862,             0.59969,            0.026929,             0.02076,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.023948,            0.022505,                   0,             0.93177,             0.75187,             0.80884,             0.56806,            0.033792,            0.021973,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.025919,            0.023441,                   0,             0.91553,             0.59155,             0.69242,             0.48445,            0.043004,            0.025565,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,             0.02557,            0.021025,                   0,             0.94888,             0.81434,             0.86753,             0.60479,            0.029625,             0.01945,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.026857,            0.021206,                   0,             0.96001,             0.79385,             0.88012,             0.61838,            0.028494,             0.01847,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.025728,            0.022311,                   0,             0.95704,             0.81306,             0.87282,              0.6257,            0.031156,            0.018358,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,             0.02551,            0.022473,                   0,             0.81807,             0.60691,             0.64621,               0.397,            0.043146,            0.033432,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.026854,            0.021718,                   0,             0.96607,             0.98207,             0.99231,             0.78403,            0.018338,            0.011917,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.025344,            0.022463,                   0,             0.93444,             0.71831,             0.78765,             0.54922,            0.039155,            0.022391,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,             0.02617,             0.02167,                   0,             0.94772,             0.89757,             0.95426,             0.66091,            0.023796,            0.015874,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.026114,            0.021852,                   0,             0.98452,             0.97724,             0.99336,             0.76652,             0.02028,            0.011903,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.025312,            0.019943,                   0,             0.96804,             0.96944,             0.99073,             0.77587,            0.019285,            0.011992,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.024044,            0.022587,                   0,             0.96635,              0.9475,              0.9853,             0.75374,             0.01953,            0.012003,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.025162,            0.019855,                   0,             0.97588,              0.9475,             0.97277,             0.72017,            0.022156,            0.013673,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.026362,            0.021818,                   0,             0.93659,             0.89117,              0.9291,             0.69073,             0.02236,            0.015612,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.023903,            0.018688,                   0,             0.97748,             0.97951,             0.99326,             0.78424,            0.018282,            0.011089,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.024891,            0.021376,                   0,             0.95549,             0.93455,             0.96936,             0.68603,            0.024429,            0.014094,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.025254,            0.020417,                   0,             0.98536,             0.98079,             0.99419,             0.76049,            0.018354,            0.011142,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.023117,             0.01932,                   0,             0.97395,             0.96159,             0.98088,             0.75389,            0.021945,            0.013044,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.025197,            0.021331,                   0,             0.85896,             0.59263,             0.66389,             0.46422,            0.048799,              0.0258,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.023471,            0.019868,                   0,             0.99157,             0.98464,             0.99445,             0.77934,            0.017999,             0.01123,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.024274,            0.020917,                   0,             0.97825,             0.94494,             0.98281,             0.78429,            0.018389,            0.012734,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.022928,            0.019956,                   0,             0.96544,             0.81434,             0.86521,             0.64535,            0.031607,            0.019467,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.023015,            0.021708,                   0,             0.96821,             0.96287,             0.98549,             0.76581,            0.019092,            0.012489,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.025827,            0.021728,                   0,             0.96889,             0.86684,             0.92267,             0.66784,            0.025298,            0.016601,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.024406,            0.020071,                   0,             0.96324,             0.93854,             0.97059,             0.73911,            0.022025,            0.013533,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.024184,            0.020648,                   0,             0.97205,             0.80026,             0.87224,             0.62472,            0.027886,            0.019191,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.025286,            0.021697,                   0,             0.98271,             0.99232,             0.99361,             0.78624,            0.019617,            0.011469,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.024448,            0.020414,                   0,             0.96375,              0.9219,             0.96145,             0.70716,            0.021285,            0.014335,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.024117,             0.02254,                   0,             0.97587,             0.97567,             0.99295,             0.75456,            0.019332,            0.012055,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.024062,            0.020085,                   0,             0.98589,             0.98409,             0.99433,             0.77874,            0.017703,            0.011085,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.024951,            0.020684,                   0,             0.96416,             0.96449,             0.98701,             0.72386,            0.021568,            0.012476,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.025134,            0.019906,                   0,             0.95615,             0.83611,             0.90254,             0.67318,            0.024484,            0.017146,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.022218,            0.020484,                   0,             0.98535,             0.98464,             0.99387,             0.78142,            0.017999,            0.011024,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,             0.02291,            0.020134,                   0,             0.98716,              0.9872,             0.99448,             0.80122,            0.017063,            0.011272,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.021687,            0.020637,                   0,             0.97756,             0.98335,             0.99359,             0.76763,            0.018362,             0.01203,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.024233,            0.019727,                   0,              0.9756,             0.97257,             0.99235,             0.78357,            0.018501,            0.011748,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.023191,            0.019714,                   0,             0.96098,             0.90781,             0.95123,             0.73162,            0.019661,            0.014669,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.023845,            0.020408,                   0,             0.95527,             0.82039,             0.88289,             0.67285,            0.025986,            0.017317,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.023606,            0.020263,                   0,             0.98473,             0.99087,             0.99462,              0.8012,            0.017782,            0.010683,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.021767,            0.020047,                   0,             0.98694,             0.96771,              0.9898,              0.7715,            0.017775,            0.011364,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.024405,            0.019922,                   0,             0.98694,             0.96742,             0.99345,             0.78881,            0.017927,            0.011268,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.023373,            0.019091,                   0,             0.98203,             0.98335,             0.99352,             0.79611,            0.018254,            0.010687,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.023199,            0.020981,                   0,             0.97573,             0.96799,             0.98563,             0.75167,            0.018593,             0.01156,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.023605,            0.020533,                   0,             0.99106,             0.99386,             0.99487,             0.82181,            0.015915,            0.010424,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.021693,            0.019619,                   0,             0.98839,             0.98141,             0.99386,             0.80092,            0.017728,            0.011059,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.023789,             0.01867,                   0,             0.99223,             0.98123,             0.99461,             0.80537,            0.017341,            0.010664,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.024354,            0.020837,                   0,             0.97677,             0.95903,             0.98598,             0.75497,             0.01906,            0.012173,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.023776,             0.01983,                   0,             0.97441,             0.97567,             0.99343,             0.79908,             0.01756,            0.011308,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.022604,            0.020668,                   0,             0.98723,             0.99012,              0.9945,             0.82103,            0.016252,            0.010621,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.021176,            0.020213,                   0,             0.97282,             0.96031,               0.987,             0.80419,            0.016887,            0.010848,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.021647,            0.020109,                   0,             0.96221,             0.95647,             0.97678,             0.75917,            0.018784,            0.012622,                   0,           0.0085051,           0.0085051,           0.0085051
